titulo;descripcion;categoria;latitud;longitud;fecha_hecho
42399-Accidente de tránsito con víctima fatal;En Concordia, Entre Ríos, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 45-49 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-31.415515449932;-58.102524507557;12/2/2023 01:00:00
42400-Accidente de tránsito con víctima fatal;En Concordia, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue una mujer de entre 30-34 años de edad, que se movilizaba en una camioneta.;Accidente de tránsito;-31.651981782187;-58.229926467764;17/2/2023 08:05:00
42401-Accidente de tránsito con víctima fatal;En La Paz, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Provincial'.La víctima fue un hombre de entre 35-39 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-30.54255502084;-59.193543925066;19/2/2023 07:10:00
42436-Accidente de tránsito con víctima fatal;En General Manuel Belgrano, Misiones, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue una persona de entre 25-29 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-26.2667846;-53.6561662;10/2/2023 22:30:00
42626-Accidente de tránsito con víctima fatal;En Confluencia, Neuquén, ocurrió un hecho vial de tipo 'Colisión vehículo-persona' en un lugar tipo 'Calle'.La víctima fue una mujer de entre 10-14 años de edad.;Accidente de tránsito;-38.93817216807;-68.097028116741;20/3/2023 03:15:00
42627-Accidente de tránsito con víctima fatal;En Confluencia, Neuquén, ocurrió un hecho vial de tipo 'Colisión vehículo-persona' en un lugar tipo 'Calle'.La víctima fue una mujer de entre 80-84 años de edad.;Accidente de tránsito;-38.94670389827;-68.072573973793;10/3/2023 12:13:00
42629-Accidente de tránsito con víctima fatal;En Ushuaia, Tierra del Fuego, Antártida e Islas del Atlántico Sur, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 20-24 años de edad, que se movilizaba en un ciclomotor.;Accidente de tránsito;-54.813977505459;-68.34936166571;27/1/2023 21:05:00
42630-Accidente de tránsito con víctima fatal;En Río Grande, Tierra del Fuego, Antártida e Islas del Atlántico Sur, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 45-49 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-53.7827838;-67.7186695;21/1/2023 07:00:00
42725-Accidente de tránsito con víctima fatal;En Concordia, Entre Ríos, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 70-74 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-31.364404005634;-58.063494431816;29/3/2023 18:40:00
42726-Accidente de tránsito con víctima fatal;En Gualeguay, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 40-44 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-32.703359927538;-59.364806130904;5/3/2023 21:00:00
42727-Accidente de tránsito con víctima fatal;En Gualeguay, Entre Ríos, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Provincial'.La víctima fue una mujer de entre 75-79 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-32.915943283607;-59.653534786812;12/3/2023 15:30:00
42733-Accidente de tránsito con víctima fatal;En Guaraní, Misiones, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 60-64 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-26.99780402235;-54.478602637119;19/3/2023 21:30:00
42737-Accidente de tránsito con víctima fatal;En Valle Viejo, Catamarca, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 30-34 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-28.6573885;-65.7817425;6/3/2023 18:10:00
43939-Accidente de tránsito con víctima fatal;En Leandro N. Alem, Misiones, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 75-79 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-27.640433531116;-55.348821251026;12/3/2023 07:20:00
43946-Accidente de tránsito con víctima fatal;En Formosa, Formosa, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue una mujer de entre 85-89 años de edad, que se movilizaba en una camioneta.;Accidente de tránsito;-25.8668547;-58.8883403;16/3/2023 16:00:00
43947-Accidente de tránsito con víctima fatal;En Matacos, Formosa, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Calle'.La víctima fue una mujer de entre 60-64 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-23.907251012688;-61.859755003213;18/3/2023 23:45:00
43948-Accidente de tránsito con víctima fatal;En Patiño, Formosa, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 70-74 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-24.9429089;-59.0259595;20/3/2023 01:20:00
43949-Accidente de tránsito con víctima fatal;En Formosa, Formosa, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 60-64 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-26.166783836173;-58.201335139807;25/3/2023 19:30:00
43950-Accidente de tránsito con víctima fatal;En Pirané, Formosa, ocurrió un hecho vial de tipo 'Colisión vehículo-persona' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre.;Accidente de tránsito;-25.5649559;-59.3343216;20/3/2023 01:00:00
43951-Accidente de tránsito con víctima fatal;En Iguazú, Misiones, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue una mujer de entre 25-29 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-25.976246705268;-54.57972200335;22/3/2023 14:00:00
43952-Accidente de tránsito con víctima fatal;En Eldorado, Misiones, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Provincial'.La víctima fue una mujer de entre 15-19 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-26.408303010468;-54.582152587633;21/1/2023 02:20:00
44155-Accidente de tránsito con víctima fatal;En Federación, Entre Ríos, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 45-49 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-30.742505095314;-57.978980624107;5/2/2023 00:55:00
44157-Accidente de tránsito con víctima fatal;En Rivadavia, San Juan, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Provincial'.La víctima fue un hombre de entre 25-29 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-31.538646296383;-68.580965804207;1/1/2023 22:15:00
44161-Accidente de tránsito con víctima fatal;En Rawson, San Juan, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 20-24 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-31.570419283384;-68.55132982533;6/1/2023 22:30:00
44178-Accidente de tránsito con víctima fatal;En Güer Aike, Santa Cruz, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 30-34 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-51.625166303304;-69.219465828137;5/3/2023 04:15:00
44225-Accidente de tránsito con víctima fatal;En Güer Aike, Santa Cruz, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue una mujer de entre 75-79 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-51.631891719969;-69.225652839271;7/3/2023 19:30:00
44242-Accidente de tránsito con víctima fatal;En Lago Argentino, Santa Cruz, ocurrió un hecho vial de tipo 'Colisión vehículo-objeto' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 45-49 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-50.332985743658;-72.261129794575;6/3/2023 05:00:00
44253-Accidente de tránsito con víctima fatal;En Chimbas, San Juan, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 65-69 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-31.498214887221;-68.52905852186;18/2/2023 13:15:00
44254-Accidente de tránsito con víctima fatal;En Rivadavia, San Juan, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 50-54 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-31.535446085751;-68.568492861729;13/2/2023 06:00:00
44255-Accidente de tránsito con víctima fatal;En Calingasta, San Juan, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 35-39 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-31.3362833;-69.423284;18/2/2023 00:45:00
44257-Accidente de tránsito con víctima fatal;En San Ignacio, Misiones, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 70-74 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-27.0424247;-55.2287515;23/2/2023 15:15:00
44292-Accidente de tránsito con víctima fatal;En Rawson, Chubut, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 60-64 años de edad, que se movilizaba en un/una Bicicleta.;Accidente de tránsito;-43.25173048454;-65.315941015871;27/2/2023 12:30:00
44293-Accidente de tránsito con víctima fatal;En Cushamen, Chubut, ocurrió un hecho vial de tipo 'Colisión vehículo-persona' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 55-59 años de edad.;Accidente de tránsito;-42.0648981;-71.5235003;22/2/2023 23:20:00
44452-Accidente de tránsito con víctima fatal;En Capital, Catamarca, ocurrió un hecho vial de tipo 'Colisión vehículo-persona' en un lugar tipo 'Calle'.La víctima fue una mujer de entre 70-74 años de edad.;Accidente de tránsito;-28.489302570388;-65.790763654869;6/4/2023 19:30:00
44454-Accidente de tránsito con víctima fatal;En Capital, Misiones, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo'.La víctima fue un hombre de entre 25-29 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-27.393319000208;-55.901191987051;19/4/2023 12:15:00
44458-Accidente de tránsito con víctima fatal;En Eldorado, Misiones, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Provincial'.La víctima fue un hombre de entre 40-44 años de edad, que se movilizaba en un automóvil.;Accidente de tránsito;-26.402534410321;-54.471853514232;19/3/2023 05:15:00
44459-Accidente de tránsito con víctima fatal;En Güer Aike, Santa Cruz, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Ruta Nacional'.La víctima fue un hombre de entre 55-59 años de edad, que se movilizaba en una camioneta.;Accidente de tránsito;-51.623599096957;-69.636734486388;18/4/2023 16:10:00
44471-Accidente de tránsito con víctima fatal;En Formosa, Formosa, ocurrió un hecho vial de tipo 'Colisión vehículo-persona' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 4 o menos años de edad.;Accidente de tránsito;-26.192623482175;-58.175333327695;5/4/2023 12:10:00
44495-Accidente de tránsito con víctima fatal;En Capital, Misiones, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Calle'.La víctima fue una persona, que se movilizaba en una motocicleta.;Accidente de tránsito;-27.428054109881;-55.888847371512;25/4/2023 10:00:00
44496-Accidente de tránsito con víctima fatal;En Candelaria, Misiones, ocurrió un hecho vial de tipo 'Colisión vehículo-persona' en un lugar tipo 'Calle'.La víctima fue una persona.;Accidente de tránsito;-27.469383807606;-55.74580868508;6/4/2023 19:30:00
44502-Accidente de tránsito con víctima fatal;En Ledesma, Jujuy, ocurrió un hecho vial de tipo 'Vuelco-Despistes' en un lugar tipo 'Calle'.La víctima fue un hombre de entre 40-44 años de edad, que se movilizaba en una motocicleta.;Accidente de tránsito;-23.815013414163;-64.792080281671;9/2/2023 17:07:00
44507-Accidente de tránsito con víctima fatal;En Federación, Entre Ríos, ocurrió un hecho vial de tipo 'Colisión vehículo-vehículo' en un lugar tipo 'Ruta Nacional'.La víctima fue una mujer de entre 50-54 años de edad, que se movilizaba en una camioneta.;Accidente de tránsito;-30.79974412324;-58.034428746056;9/4/2023 20:20:00
