titulo;descripcion;categoria;latitud;longitud;fecha_hecho
Centro clandestino de detención 59-CASA DEL CILINDRO;Centro Clandestino de Detención (CCD) 'CASA DEL CILINDRO', que funcionó en un predio de 'EJÉRCITO'. Ubicación: Ruta Nac. Nº 197, ING. HUERGO y vías del FCGMB · LOS POLVORINES · MALVINAS ARGENTINAS (ex GRAL. SARMIENTO) · BUENOS AIRES COMPAÑÍA DE COMUNICACIONES 601. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.4970438;-58.6937395;24/03/1976 00:00:00
Centro clandestino de detención 64-CUARTEL DE BOMBEROS DE SAN RAFAEL;Centro Clandestino de Detención (CCD) 'CUARTEL DE BOMBEROS DE SAN RAFAEL', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: INDEPENDENCIA al 300 · SAN RAFAEL · MENDOZA. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.622608;-68.3231081;24/03/1976 00:00:00
Centro clandestino de detención 67-COMISARÍA 4ª DE SALTA;Centro Clandestino de Detención (CCD) 'COMISARÍA 4ª DE SALTA', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: LERMA entre LA RIOJA y SAN LUIS (frente a Club Juventud Antoniana) · SALTA · CAPITAL · SALTA. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-24.7982831;-65.4073948;24/03/1976 00:00:00
Centro clandestino de detención 68-COMISARÍA 1ª DE SAN ISIDRO;Centro Clandestino de Detención (CCD) 'COMISARÍA 1ª DE SAN ISIDRO', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: ALSINA 90 · SAN ISIDRO · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.4725227;-58.5164058;24/03/1976 00:00:00
Centro clandestino de detención 69-COMISARÍA DE CAMPANA;Centro Clandestino de Detención (CCD) 'COMISARÍA DE CAMPANA', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: RAWSON 362 (entre MITRE y 9 DE JULIO) · CAMPANA · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.6073533;-58.3817658;24/03/1976 00:00:00
Centro clandestino de detención 70-COMISARÍA 2ª DE QUILMES (BERNAL);Centro Clandestino de Detención (CCD) 'COMISARÍA 2ª DE QUILMES (BERNAL)', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: 25 DE MAYO 87 · BERNAL · QUILMES · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.7106558;-58.2833459;24/03/1976 00:00:00
Centro clandestino de detención 71-COMISARÍA 6ª DE ALTE. BROWN (CLAYPOLE);Centro Clandestino de Detención (CCD) 'COMISARÍA 6ª DE ALTE. BROWN (CLAYPOLE)', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: FRANCISCO BOLLINI 650 · CLAYPOLE · ALTE. BROWN · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.7982169;-58.3338868;24/03/1976 00:00:00
Centro clandestino de detención 73-COMISARÍA 6ª DE LOMAS DE ZAMORA (SAN JOSÉ);Centro Clandestino de Detención (CCD) 'COMISARÍA 6ª DE LOMAS DE ZAMORA (SAN JOSÉ)', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: LA GOLONDRINA 2950 · SAN JOSÉ · LOMAS DE ZAMORA · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.7655156;-58.3606817;24/03/1976 00:00:00
Centro clandestino de detención 74-EL CAÑO / LA CASITA;Centro Clandestino de Detención (CCD) 'EL CAÑO / LA CASITA', que funcionó en un predio de 'SIN ESTABLECER PROPIEDAD'. Ubicación: Zona portuaria (en inmed. de Comisaría 46ª de la PFA) · Retiro · CAPITAL FEDERAL INSTALACIONES SIN ESPECIFICAR DE PFA O PREFECTURA. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.6196177;-58.4360766;24/03/1976 00:00:00
Centro clandestino de detención 76-COMISARÍA 2ª DE GRAL. SARMIENTO (BELLA VISTA);Centro Clandestino de Detención (CCD) 'COMISARÍA 2ª DE GRAL. SARMIENTO (BELLA VISTA)', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: Av. SAN MARTÍN 1928 (dirección actual) · BELLA VISTA · SAN MIGUEL (ex GRAL. SARMIENTO) · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.5649934;-58.6899874;24/03/1976 00:00:00
Centro clandestino de detención 77-COMISARÍA 1ª DE MORENO;Centro Clandestino de Detención (CCD) 'COMISARÍA 1ª DE MORENO', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: GRAL. MANUEL BELGRANO 588 · MORENO · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.6438708;-58.7864756;24/03/1976 00:00:00
"Centro clandestino de detención 79-BRIGADA AÉREA I ""EL PALOMAR"" UNIDAD DE COMANDO SUBZONA 16 Y ÁREA 161";"Centro Clandestino de Detención (CCD) 'BRIGADA AÉREA I ""EL PALOMAR"" UNIDAD DE COMANDO SUBZONA 16 Y ÁREA 161', que funcionó en un predio de 'FUERZA AÉREA'. Ubicación: Av. TTE. MATIENZO y vías del FCGSM · EL PALOMAR · MORÓN · BUENOS AIRES. Actualmente es un Espacio para la Memoria.";Centro Clandestino de Detención;-34.5971735;-58.5946758;24/03/1976 00:00:00
Centro clandestino de detención 82-UNIDAD PENAL 8 DE OLMOS;Centro Clandestino de Detención (CCD) 'UNIDAD PENAL 8 DE OLMOS', que funcionó en un predio de 'SERVICIO PENITENCIARIO PROVINCIAL'. Ubicación: Av. 53 y Ruta Prov. Nº 36 · LISANDRO OLMOS · LA PLATA · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.9209041;-57.9530439;24/03/1976 00:00:00
Centro clandestino de detención 84-COMISARÍA 3ª DE LANÚS (VALENTÍN ALSINA);Centro Clandestino de Detención (CCD) 'COMISARÍA 3ª DE LANÚS (VALENTÍN ALSINA)', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: YATAY 553 · VALENTÍN ALSINA · LANÚS · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.6673295;-58.412146;24/03/1976 00:00:00
Centro clandestino de detención 85-COMISARÍA 3ª DE QUILMES;Centro Clandestino de Detención (CCD) 'COMISARÍA 3ª DE QUILMES', que funcionó en un predio de 'POLICÍA PROVINCIAL'. Ubicación: Av. 12 DE OCTUBRE 55 (esq. GRAN CANARIA) · QUILMES · BUENOS AIRES. Actualmente es un Espacio para la Memoria.;Centro Clandestino de Detención;-34.727504;-58.2598717;24/03/1976 00:00:00
